match,teamNumber,role,coralPickup,algaePickup,algaeKnocking,underShallowCage,teleopPoints,autoPoints,driverAbility,feeds,defends,coralPickups,algaePickups,coralDrops,algaeDrops,coralL1,coralL2,coralL3,coralL4,processorScores,netScores,netFails,activeAuton,endgame,scouter,notes
Q7,7197,OFFENSE,BOTH,REEF,TRUE,FALSE,24,17,3,0,0,11,0,1,0,4,2,2,2,0,0,0,TRUE,PARKED,,Coral bot; focused on l1-l3; ground intake for l1
Q7,9280,OFFENSE,STATION,REEF,FALSE,FALSE,27,3,2,0,0,5,3,0,3,0,0,0,5,0,0,0,TRUE,PARKED,,Inexperienced driving; issues aligning with reef; auto miscalibrated. However; they have decent cycle time of 8-10 seconds
Q7,9280,OFFENSE,STATION,NONE,TRUE,FALSE,27,3,2,0,0,6,3,1,3,0,0,0,5,0,0,0,TRUE,PARKED,,Very slow; took algae off the reef to hold; but dropped every one. Seemed to find their stride in the last 30 seconds and did ok.
Q7,9280,OFFENSE,STATION,REEF,TRUE,FALSE,27,3,3,0,0,5,3,0,3,0,0,0,5,0,0,0,TRUE,PARKED,,
Q7,9312,OFFENSE,GROUND,NONE,FALSE,TRUE,12,0,3,0,0,6,0,4,0,0,2,0,0,0,0,0,FALSE,SHALLOW,,coral got stuck in robot multiple times; seems more orf a robot than driver issue bc they were able to get it unstuck; but their robot struggled with scoring any coral
Q7,9312,OFFENSE,GROUND,NONE,FALSE,FALSE,12,0,1,0,0,4,0,2,0,0,2,0,0,0,0,0,FALSE,SHALLOW,,The intake is really bad and they ended up missing most of their corals 
Q8,3173,OFFENSE,STATION,BOTH,TRUE,FALSE,37,10,2,0,0,12,2,5,0,0,0,3,4,0,2,0,TRUE,PARKED,Matthew,Misses too much l4 coral. Could do algae; a bit of a low shot but it's fine. Make sure to keep watching them since latter half they hit more consistent l3 and l2. Did not get climb but saved teammate from algae beach
Q8,4013,OFFENSE,STATION,BOTH,TRUE,FALSE,20,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,FALSE,PARKED,,We improved a lot since magnolia; but our cycle time is still really slow
Q8,4013,OFFENSE,STATION,BOTH,TRUE,FALSE,12,3,1,0,0,2,4,1,1,0,0,0,0,2,0,0,TRUE,FAILED_DEEP,,Absolutely awful intake; spent 30 seconds at the station failing to get one piece; ok algae; got beached once; and rescued another swiftly.
Q8,4013,OFFENSE,STATION,BOTH,TRUE,FALSE,14,3,2,0,0,2,3,2,1,0,0,0,0,2,0,0,TRUE,PARKED,,
Q8,4613,FEEDER,NONE,REEF,TRUE,TRUE,49,0,3,0,0,12,4,2,0,0,5,5,0,0,2,2,FALSE,SHALLOW,,They really like to do algae and they struggle with coral level 4 and 3 
Q8,4613,OFFENSE,BOTH,REEF,FALSE,TRUE,51,0,5,0,0,15,3,5,2,0,5,5,0,0,1,0,FALSE,DEEP,,attempted to score algae in net in the beginning but failed; otherwise their coral scoring was pretty consistent
Q8,6348,OFFENSE,STATION,NONE,FALSE,FALSE,14,3,3,0,0,8,0,5,0,1,0,0,2,0,0,0,TRUE,PARKED,,Scored two coral on L4; but amazing effort on all fronts
Q8,6348,OFFENSE,STATION,NONE,FALSE,FALSE,16,3,2,0,0,8,0,4,0,2,0,0,2,0,0,0,TRUE,PARKED,,They take a very long time to align to the reef; and they drop a lot of coral. It also takes them a long time to intake  sometimes 
Q8,6348,OFFENSE,NONE,NONE,FALSE,FALSE,2,3,1,3,0,0,3,0,0,0,0,0,0,0,0,0,TRUE,PARKED,,Terrible 
Q8,6348,OFFENSE,STATION,REEF,TRUE,FALSE,2,0,1,0,0,3,2,2,1,0,0,0,0,0,0,0,FALSE,PARKED,,
Q8,7034,OFFENSE,STATION,NONE,FALSE,FALSE,51,3,4,0,0,9,0,1,0,0,0,1,7,0,0,0,TRUE,DEEP,,
Q8,7034,FEEDER,STATION,NONE,FALSE,FALSE,63,17,5,0,0,14,0,1,0,0,0,4,9,0,0,0,TRUE,DEEP,,
Q8,7048,OFFENSE,STATION,REEF,FALSE,FALSE,20,10,3,0,0,7,1,2,1,0,0,0,5,0,0,0,TRUE,FAILED_DEEP,,Slightly uncontrollable driving
Q8,7048,OFFENSE,STATION,NONE,FALSE,FALSE,22,13,3,0,0,8,0,1,0,1,0,0,5,0,0,0,TRUE,PARKED,,Accurate; decent speed; L4 focus
Q9,694,OFFENSE,STATION,BOTH,TRUE,TRUE,71,22,5,0,0,17,5,1,1,1,5,3,7,2,1,1,TRUE,SHALLOW,,10/10 REALLY GOATED. They can literally do everything and do it perfectly. They only lost cuz of their alliance 🫣
Q9,694,OFFENSE,STATION,REEF,TRUE,TRUE,67,10,5,0,0,15,3,1,1,0,5,4,5,0,1,1,TRUE,DEEP,,very consistent with both algae and coral
Q9,900,OFFENSE,STATION,REEF,TRUE,FALSE,39,10,4,0,0,18,1,9,0,0,2,3,4,0,1,0,TRUE,PARKED,Matthew,Fast driving. Missed a lot of coral. Wide funnel station intake. Struggled on l2 and l3 ask about tuning.
Q9,1481,FEEDER,STATION,REEF,TRUE,FALSE,38,10,4,0,0,10,1,1,1,0,3,3,2,0,0,0,TRUE,DEEP,,
Q9,1481,OFFENSE,STATION,NONE,FALSE,FALSE,41,10,4,0,0,10,0,1,0,1,2,4,2,0,0,0,TRUE,DEEP,,high scorers
Q9,1678,OFFENSE,BOTH,BOTH,TRUE,TRUE,68,31,5,0,0,18,5,0,0,2,4,6,6,1,3,1,TRUE,FAILED_DEEP,,Best team i love citrus; can do the game perfectly 
Q9,1678,OFFENSE,BOTH,BOTH,TRUE,TRUE,73,31,5,0,0,15,5,0,0,0,3,6,6,1,3,1,TRUE,DEEP,,Insanely goated; damn near filled the reef themselves 
Q9,1678,OFFENSE,BOTH,BOTH,TRUE,FALSE,101,24,5,0,0,21,6,0,0,2,6,7,6,2,3,1,TRUE,DEEP,,Very fast cycle times; fast scorer; great auto
Q9,1847,OFFENSE,STATION,REEF,FALSE,FALSE,35,3,4,0,0,11,0,0,0,4,1,3,2,0,0,0,TRUE,PARKED,,Shuddering for last part of the match; could be a concern
Q9,1847,OFFENSE,STATION,NONE,FALSE,FALSE,38,10,3,0,0,13,0,2,0,1,4,3,3,0,0,0,TRUE,PARKED,,
Q9,9032,OFFENSE,BOTH,BOTH,TRUE,FALSE,35,17,5,0,0,7,6,1,1,0,1,1,4,0,4,1,TRUE,PARKED,,Extremely efficient at scoring both algae and coral
Q9,9032,OFFENSE,GROUND,BOTH,TRUE,FALSE,34,14,5,0,0,6,6,1,1,0,1,2,2,0,5,0,TRUE,PARKED,,Scored on all levels but L1 and got lots of algae in the barge
Q10,179,OFFENSE,BOTH,REEF,TRUE,FALSE,57,0,4,0,0,18,2,3,0,3,4,4,3,0,2,0,FALSE,NOT_ATTEMPTED,,Amazing cycle time and driver; but bot lost power for final 20 seconds
Q10,179,OFFENSE,BOTH,BOTH,TRUE,FALSE,59,3,4,0,0,18,2,3,0,3,6,3,3,0,2,0,TRUE,NOT_ATTEMPTED,,They have fast cycle times; but they stopped working around the end of their match 
Q10,179,OFFENSE,GROUND,GROUND,FALSE,FALSE,47,3,3,0,0,15,2,3,0,2,4,2,3,0,2,0,TRUE,NOT_ATTEMPTED,,
Q10,1731,OFFENSE,STATION,REEF,TRUE,FALSE,23,17,1,0,0,10,1,3,0,1,1,2,2,0,1,0,TRUE,SHALLOW,,They had a really good auto but seemed to do bad in tele op so I would say bad drivers good robot. 6/10
Q10,1731,OFFENSE,STATION,REEF,FALSE,TRUE,35,12,5,0,0,11,1,2,0,5,1,2,1,0,1,0,TRUE,DEEP,,both corsl and algae; coral could score multiple levels
Q10,8738,FEEDER,STATION,REEF,TRUE,FALSE,49,3,4,0,0,17,1,6,0,1,5,1,4,1,0,0,TRUE,PARKED,,
Q10,8738,OFFENSE,STATION,REEF,TRUE,FALSE,43,3,5,0,0,16,1,6,0,2,4,1,3,1,0,0,TRUE,PARKED,,Achieved the coral ranking point and scored great coral
Q10,8738,OFFENSE,STATION,REEF,TRUE,FALSE,50,0,4,0,0,13,1,1,0,3,4,1,4,1,0,0,FALSE,PARKED,,
Q10,8808,OFFENSE,GROUND,NONE,TRUE,FALSE,42,17,3,0,0,10,1,2,1,0,0,0,8,0,0,0,TRUE,DEEP,Matthew,Misses a lot of coral as well. Struggled to quickly intake. Slower than 6995 for an example for sure
Q10,9301,OFFENSE,BOTH,REEF,TRUE,FALSE,18,3,3,0,0,8,2,2,1,6,0,0,0,1,0,0,TRUE,NOT_ATTEMPTED,,L1 bot kind of fast
Q10,9301,IMMOBILE,STATION,GROUND,FALSE,TRUE,30,6,3,0,0,8,3,0,0,7,0,0,0,3,0,0,TRUE,NOT_ATTEMPTED,,Got disabled; good at putting algae in processor
Q10,10698,OFFENSE,BOTH,REEF,TRUE,FALSE,6,0,1,1,0,4,1,3,0,0,0,1,0,0,0,0,FALSE,PARKED,,Bad cycles; doesnt have presets
Q10,10698,OFFENSE,BOTH,REEF,FALSE,FALSE,4,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,FALSE,FAILED_DEEP,,Terrible robot 
Q11,2630,OFFENSE,BOTH,BOTH,TRUE,FALSE,58,24,5,0,0,11,5,1,0,1,0,2,7,0,4,1,TRUE,DEEP,,Fast robot; good cycles for both coral and algae 
Q11,2630,OFFENSE,BOTH,BOTH,TRUE,FALSE,71,24,5,0,0,12,6,1,0,1,0,2,8,0,6,0,TRUE,DEEP,,Terrific; fast; cycling algae and coral really fast; can do multiple levels 
Q11,2648,OFFENSE,STATION,REEF,FALSE,FALSE,51,10,5,0,0,10,1,0,0,1,0,7,2,0,1,0,TRUE,DEEP,,The effectively handled a robot playing defense on them
Q11,3255,OFFENSE,STATION,GROUND,TRUE,FALSE,55,3,4,0,0,7,5,1,0,0,0,3,3,0,4,1,TRUE,DEEP,,Missed all L4s in auto; appeared to have issues with algae intake early in match
Q11,3255,OFFENSE,STATION,BOTH,FALSE,FALSE,51,0,3,0,0,5,5,0,0,0,0,2,3,0,4,1,FALSE,DEEP,,Huge; unstable bot
Q11,3891,DEFENSE,NONE,NONE,FALSE,FALSE,0,3,2,0,6,1,0,0,0,0,0,0,0,0,0,0,TRUE,NOT_ATTEMPTED,Matthew,Fouls. Ineffective defense. Does not look like they know defense too well
Q11,3891,DEFENSE,NONE,NONE,FALSE,FALSE,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,FALSE,NOT_ATTEMPTED,,😭
Q11,7525,DEFENSE,NONE,NONE,FALSE,FALSE,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,PARKED,,They had a problem with intake so they decided to do defense for the entire match. 4/10
Q11,7525,DEFENSE,NONE,NONE,FALSE,TRUE,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,FAILED_DEEP,,couldnt score their first coral on l4; became defense of the rest
Q11,9432,OFFENSE,STATION,REEF,TRUE,FALSE,62,16,5,0,0,11,3,0,0,0,0,3,8,0,3,0,TRUE,DEEP,,cracked
Q11,9432,OFFENSE,STATION,REEF,TRUE,FALSE,57,24,3,0,0,11,3,1,0,0,0,2,8,0,3,0,TRUE,DEEP,,
Q12,226,OFFENSE,STATION,REEF,TRUE,FALSE,40,24,5,0,0,12,3,2,2,1,2,4,3,0,1,0,TRUE,DEEP,,drives like a swerve but idk
Q12,494,OFFENSE,NONE,NONE,FALSE,FALSE,63,17,3,0,0,12,3,0,1,0,3,5,4,2,0,0,TRUE,DEEP,Matthew,Extremely slow extension and slow scoring but the all mechanically driven scoring is 100% consistent on l4 l3 and l2. Insanely fast deep cage
Q12,494,OFFENSE,BOTH,REEF,TRUE,TRUE,69,0,5,0,1,12,3,1,1,0,2,6,3,2,0,0,FALSE,DEEP,,
Q12,537,OFFENSE,STATION,NONE,FALSE,TRUE,53,3,5,0,0,14,0,3,0,1,4,3,3,0,0,0,TRUE,DEEP,,auto failed; only missed once or twice
Q12,537,OFFENSE,STATION,NONE,FALSE,TRUE,51,0,3,0,0,12,0,2,0,0,4,3,3,0,0,0,FALSE,DEEP,,7/10 very mid because they can do coral but it is rly slow and they miss a lot if it is on 3rd or 4th level 
Q12,2129,OFFENSE,STATION,NONE,TRUE,FALSE,46,0,4,1,0,12,1,1,0,1,2,2,6,0,0,0,FALSE,NOT_ATTEMPTED,,Coral cycles bot; l4-l1 pretty good cycles 
Q12,2129,OFFENSE,STATION,NONE,TRUE,FALSE,50,0,4,1,0,13,1,1,0,1,2,3,6,0,0,0,FALSE,NOT_ATTEMPTED,,Not a terrible bot; cycled pretty fast on l4 and l3 
Q12,3284,OFFENSE,BOTH,BOTH,FALSE,FALSE,6,3,2,0,0,4,3,1,2,3,0,0,0,0,0,1,TRUE,FAILED_DEEP,,Inconsistent scoring
